"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"33","Eastern Europe","Sub_Region","Forest","2020_2070",14018511.7062539,13057456.504255,-0.0141034750330499
"34","Europe and Central Asia","Region","Forest","2020_2030",17429634.0645387,16635224.916623,-0.00928649857983754
"35","Europe and Central Asia","Region","Forest","2020_2050",17429634.0645387,16121135.1454236,-0.0154869665456685
"36","Europe and Central Asia","Region","Forest","2020_2070",17429634.0645387,15842099.1844475,-0.0189189397162596
"37","Global","Global","Forest","2020_2030",89448232.8360001,84493252.56095,-0.0113329673855415
"38","Global","Global","Forest","2020_2050",89448232.8360001,82724307.0165034,-0.0155078114921274
"39","Global","Global","Forest","2020_2070",89448232.8360001,81730811.9963297,-0.017883947089857
"40","Mesoamerica","Sub_Region","Forest","2020_2030",1255246.63757734,1225422.00816894,-0.00479781277082014
"41","Mesoamerica","Sub_Region","Forest","2020_2050",1255246.63757734,1240941.29130769,-0.00228975045412871
"42","Mesoamerica","Sub_Region","Forest","2020_2070",1255246.63757734,1239246.34255392,-0.00256244545053541
"43","North Africa","Sub_Region","Forest","2020_2030",6793669.35796354,6505292.53013747,-0.00863750470765201
"44","North Africa","Sub_Region","Forest","2020_2050",6793669.35796354,6494840.30450234,-0.00895627931741383
"45","North Africa","Sub_Region","Forest","2020_2070",6793669.35796354,6480693.98361129,-0.00938837163058059
"46","North America","Sub_Region","Forest","2020_2030",13938129.6503301,13065466.7816367,-0.0128478720714624
"47","North America","Sub_Region","Forest","2020_2050",13938129.6503301,12486331.8878596,-0.0217585182433546
"48","North America","Sub_Region","Forest","2020_2070",13938129.6503301,12175443.9171697,-0.0266790733351969
"49","North-East Asia","Sub_Region","Forest","2020_2030",4716374.38357354,4222901.9571173,-0.0218610674510489
"50","North-East Asia","Sub_Region","Forest","2020_2050",4716374.38357354,4304935.78842331,-0.0180900040367157
"51","North-East Asia","Sub_Region","Forest","2020_2070",4716374.38357354,4361475.38808933,-0.0155242319792785
"52","Oceania","Sub_Region","Forest","2020_2030",4379473.24899921,4006409.85183489,-0.0176489822094216
"53","Oceania","Sub_Region","Forest","2020_2050",4379473.24899921,4012425.12320937,-0.0173541765072085
"54","Oceania","Sub_Region","Forest","2020_2070",4379473.24899921,3971805.80232742,-0.0193518223734702
"55","South America","Sub_Region","Forest","2020_2030",10630251.1912534,10354842.0421485,-0.00523615967569191
"56","South America","Sub_Region","Forest","2020_2050",10630251.1912534,10217770.1060261,-0.00788384830556077
"57","South America","Sub_Region","Forest","2020_2070",10630251.1912534,10155967.2425157,-0.00908693876039302
"58","South Asia","Sub_Region","Forest","2020_2030",2232454.03552436,2078052.19911883,-0.0142318425934301
"59","South Asia","Sub_Region","Forest","2020_2050",2232454.03552436,2078664.84899686,-0.0141737247526866
"60","South Asia","Sub_Region","Forest","2020_2070",2232454.03552436,2057116.44765732,-0.0162261593194662
"61","South-East Asia","Sub_Region","Forest","2020_2030",2564104.14878995,2418067.24848515,-0.0116596125849543
"62","South-East Asia","Sub_Region","Forest","2020_2050",2564104.14878995,2312250.78866436,-0.0204652334734177
"63","South-East Asia","Sub_Region","Forest","2020_2070",2564104.14878995,2230433.90046579,-0.0274974714371621
"64","Southern Africa","Sub_Region","Forest","2020_2030",2775916.36172674,2680085.73535053,-0.0070017980495618
"65","Southern Africa","Sub_Region","Forest","2020_2050",2775916.36172674,2628710.12743461,-0.0108383636797811
"66","Southern Africa","Sub_Region","Forest","2020_2070",2775916.36172674,2613526.20271668,-0.0119837298628949
"67","West Africa","Sub_Region","Forest","2020_2030",2378544.86878641,2351902.58619789,-0.00225032207775111
"68","West Africa","Sub_Region","Forest","2020_2050",2378544.86878641,2366812.56683234,-0.000988463067511103
"69","West Africa","Sub_Region","Forest","2020_2070",2378544.86878641,2340939.71714519,-0.00318221872563396
"70","Western Asia","Sub_Region","Forest","2020_2030",2574562.21101182,1974816.73496042,-0.0516586622156879
"71","Western Asia","Sub_Region","Forest","2020_2050",2574562.21101182,1980370.5119426,-0.0511258571848896
"72","Western Asia","Sub_Region","Forest","2020_2070",2574562.21101182,1975094.60022755,-0.0516319765709008
"73","Africa","Region","Non_Forest","2020_2030",18223844.7249185,18088848.1461561,-0.00148594737310026
"74","Africa","Region","Non_Forest","2020_2050",18223844.7249185,17440742.1795134,-0.00874591255252788
"75","Africa","Region","Non_Forest","2020_2070",18223844.7249185,17386030.492544,-0.00936860811268814
"76","Americas","Region","Non_Forest","2020_2030",23032737.2863577,22846514.3746762,-0.00162228312624824
"77","Americas","Region","Non_Forest","2020_2050",23032737.2863577,22342034.8915839,-0.0060708350270009
"78","Americas","Region","Non_Forest","2020_2070",23032737.2863577,22585090.6098423,-0.00391762264351536
"79","Antarctica","Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"80","Antarctica","Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"81","Antarctica","Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"82","Antarctica","Sub_Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
