,zone,entity,zone_type,area_2020,area_2030,area_2050,area_2070,h_forest,h_nonforest,ss_t1_forest,ss_t0_forest,ss_t1_nonforest,ss_t0_nonforest,z,,ss_forest,ss_nonforest
91,Antarctica,Permanent_crops,Sub_Region,0,0,0,0,,,,,,,,,,
92,Caribbean,Permanent_crops,Sub_Region,0,50491.56656,55815.97262,65733.17246,,,,,,,,,,
93,Central Africa,Permanent_crops,Sub_Region,0,369495.958,460907.1641,521015.5821,,,,,,,,,,
94,Central Asia,Permanent_crops,Sub_Region,0,0,0,0,,,,,,,,,,
95,Central and Western Europe,Permanent_crops,Sub_Region,0,0,0,0,,,,,,,,,,
96,East Africa and adjacent islands,Permanent_crops,Sub_Region,0,495311.9106,649098.3888,774199.8734,,,,,,,,,,
97,Eastern Europe,Permanent_crops,Sub_Region,0,0,0,0,,,,,,,,,,
98,Mesoamerica,Permanent_crops,Sub_Region,0,251393.9356,290320.314,299216.5439,,,,,,,,,,
99,North Africa,Permanent_crops,Sub_Region,0,319857.0148,409840.1669,437844.2913,,,,,,,,,,
100,North America,Permanent_crops,Sub_Region,0,16247.29961,16618.3867,17034.69946,,,,,,,,,,
101,North-East Asia,Permanent_crops,Sub_Region,0,48694.63243,49861.093,107499.393,,,,,,,,,,
102,Oceania,Permanent_crops,Sub_Region,0,62059.01913,68586.48213,72833.04638,,,,,,,,,,
103,South America,Permanent_crops,Sub_Region,0,1151510.463,1004611.81,1041270.259,,,,,,,,,,
104,South Asia,Permanent_crops,Sub_Region,0,505925.0509,532275.8455,1334413.406,,,,,,,,,,
105,South-East Asia,Permanent_crops,Sub_Region,0,757012.5964,774666.1071,1079619.721,,,,,,,,,,
106,Southern Africa,Permanent_crops,Sub_Region,0,393723.1122,460673.6555,749610.8907,,,,,,,,,,
107,West Africa,Permanent_crops,Sub_Region,0,1095702.617,1238370.845,1364034.162,,,,,,,,,,
108,Western Asia,Permanent_crops,Sub_Region,0,2752.015264,2762.696898,2757.72548,,,,,,,,,,
109,Antarctica,Pasture,Sub_Region,0,0,0,0,,,,,,,,,,
110,Caribbean,Pasture,Sub_Region,61017.62121,47793.56531,42347.93189,44046.0031,,,,,,,,,,
111,Central Africa,Pasture,Sub_Region,1054313.955,890981.27,786556.5141,715937.9532,,,,,,,,,,
112,Central Asia,Pasture,Sub_Region,2608451.851,2646655.917,2611257.317,2631818.964,,,,,,,,,,
113,Central and Western Europe,Pasture,Sub_Region,889673.6729,752873.5548,552999.5929,528800.8478,,,,,,,,,,
114,East Africa and adjacent islands,Pasture,Sub_Region,1865918.012,1873509.027,1714704.956,1550137.012,,,,,,,,,,
115,Eastern Europe,Pasture,Sub_Region,1141359.017,974202.3176,784273.8835,795947.7673,,,,,,,,,,
116,Mesoamerica,Pasture,Sub_Region,919682.7132,855384.0515,709700.0293,739664.1036,,,,,,,,,,
117,North Africa,Pasture,Sub_Region,1384113.9,1495075.213,1322656.866,1331807.781,,,,,,,,,,
118,North America,Pasture,Sub_Region,2673726.153,2299277.745,1712620.877,1683905.599,,,,,,,,,,
119,North-East Asia,Pasture,Sub_Region,5188099.902,5186006.917,4835522.218,4438143.044,,,,,,,,,,
120,Oceania,Pasture,Sub_Region,3460741.777,3429767.069,3386154.47,3430155.563,,,,,,,,,,
121,South America,Pasture,Sub_Region,4809738.25,4483387.609,4179934.23,4425610.61,,,,,,,,,,
122,South Asia,Pasture,Sub_Region,1649970.671,1608838.896,1577131.33,1601416.266,,,,,,,,,,
123,South-East Asia,Pasture,Sub_Region,176870.5118,135775.2673,103568.8049,104263.3166,,,,,,,,,,
124,Southern Africa,Pasture,Sub_Region,2874236.361,2833159.219,2361831.417,1870072.653,,,,,,,,,,
125,West Africa,Pasture,Sub_Region,1457636.305,1234309.801,1025474.826,972538.7194,,,,,,,,,,
126,Western Asia,Pasture,Sub_Region,884112.7644,957819.8035,958468.3072,962582.8354,,,,,,,,,,
127,Antarctica,Primary_vegetation,Sub_Region,1519.044169,1519.044169,1519.044169,1519.044169,,,,,,,,,,
128,Caribbean,Primary_vegetation,Sub_Region,100304.9421,86503.99255,84469.88512,84433.28617,,,,,,,,,,
129,Central Africa,Primary_vegetation,Sub_Region,3275868.943,3003422.851,2996269.088,2984849.673,,,,,,,,,,
130,Central Asia,Primary_vegetation,Sub_Region,835998.0073,554829.6878,527237.5348,525822.2993,,,,,,,,,,
131,Central and Western Europe,Primary_vegetation,Sub_Region,1477884.837,688927.478,530788.4756,391430.3723,,,,,,,,,,
132,East Africa and adjacent islands,Primary_vegetation,Sub_Region,1952169.853,1531340.987,1449192.961,1445523.674,,,,,,,,,,
133,Eastern Europe,Primary_vegetation,Sub_Region,13315374,12743001.67,12261286.94,12079237,,,,,,,,,,
134,Mesoamerica,Primary_vegetation,Sub_Region,1096596.847,979646.4302,976476.7239,975740.4778,,,,,,,,,,
135,North Africa,Primary_vegetation,Sub_Region,6569831.702,6168133.481,6096333.845,6074747.608,,,,,,,,,,
136,North America,Primary_vegetation,Sub_Region,12886067.14,11133545.92,10506725.2,9958201.274,,,,,,,,,,
137,North-East Asia,Primary_vegetation,Sub_Region,3689241.233,2346595,2306132.078,2273600.405,,,,,,,,,,
138,Oceania,Primary_vegetation,Sub_Region,3713194.826,3555769.259,3520630.254,3489825.206,,,,,,,,,,
139,South America,Primary_vegetation,Sub_Region,9509935.228,8824763.49,8636479.599,8466134.849,,,,,,,,,,
140,South Asia,Primary_vegetation,Sub_Region,1684495.397,1237205.817,1186914.34,1049210.313,,,,,,,,,,
141,South-East Asia,Primary_vegetation,Sub_Region,2287096.307,2108564.497,1975142.913,1856252.863,,,,,,,,,,
142,Southern Africa,Primary_vegetation,Sub_Region,2319517.284,2033415.061,1987261.314,1951517.366,,,,,,,,,,
143,West Africa,Primary_vegetation,Sub_Region,2039753.133,1719508.198,1718673.199,1717962.168,,,,,,,,,,
144,Western Asia,Primary_vegetation,Sub_Region,2455003.572,2255907.354,2227735.636,2221805.245,,,,,,,,,,
