"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"35","Asia and the Pacific","Primary_vegetation","Region",13829031.3362543,11410583.3541243,11100808.903275,10919221.2232669
"36","Europe and Central Asia","Primary_vegetation","Region",15629256.8462515,14439020.544984,13447949.1229538,13095533.7380937
"37","Antarctica","Urban","Sub_Region",0,0,0,0
"38","Caribbean","Urban","Sub_Region",7253.26436053912,8601.38744669124,10709.5148672627,11106.0137113034
"39","Central Africa","Urban","Sub_Region",6592.7466149499,10157.5036899661,17092.0243170902,21287.9407325012
"40","Central Asia","Urban","Sub_Region",9754.24428582673,12907.4457426462,18778.4416734575,18927.7333350556
"41","Central and Western Europe","Urban","Sub_Region",130199.964224349,145356.538784383,168557.701710931,173344.248470216
"42","East Africa and adjacent islands","Urban","Sub_Region",10613.7261662809,16860.586186247,31881.2159173853,40028.4495030737
"43","Eastern Europe","Urban","Sub_Region",34862.4789632923,36428.9060049783,36080.0359953428,30961.0981977554
"44","Mesoamerica","Urban","Sub_Region",20207.9990234436,23609.2468306936,28185.5830679475,27680.3532299561
"45","North Africa","Urban","Sub_Region",19466.2252728997,24457.6007961853,34381.2461006012,36412.0003677615
"46","North America","Urban","Sub_Region",244961.294831706,279571.423609193,338835.796364958,366943.930914261
"47","North-East Asia","Urban","Sub_Region",93123.8080949167,106775.409493513,118638.296096056,104256.669309729
"48","Oceania","Urban","Sub_Region",22429.7105818539,25775.0994622502,31279.9361787238,33202.3545172748
"49","South America","Urban","Sub_Region",59007.5694052493,66915.801064898,74505.9377351179,71853.3853566533
"50","South Asia","Urban","Sub_Region",48995.7168352147,67199.3687406125,101169.551930351,104950.882068851
"51","South-East Asia","Urban","Sub_Region",35449.7122145355,45344.5021918411,65271.3833775825,68452.2034040627
"52","Southern Africa","Urban","Sub_Region",16206.1384741271,21345.2991897684,32838.9307809067,41101.728598906
"53","West Africa","Urban","Sub_Region",22322.6132963296,30872.9779062351,51555.2482556009,63174.6488050912
"54","Western Asia","Urban","Sub_Region",19878.1529156872,24010.5367584897,31971.8422448993,34410.7708823985
"55","Antarctica","Cropland","Sub_Region",0,0,0,0
"56","Caribbean","Cropland","Sub_Region",72975.5935616443,67051.9959537933,65854.1318193286,65731.2616176215
"57","Central Africa","Cropland","Sub_Region",300094.420812916,417075.688018672,548845.561594403,579966.666221716
"58","Central Asia","Cropland","Sub_Region",384509.175536954,449655.2261255,419465.673310364,407638.416341029
"59","Central and Western Europe","Cropland","Sub_Region",1525147.7486994,1647120.75171831,1455716.41887846,1454768.93498332
"60","East Africa and adjacent islands","Cropland","Sub_Region",646235.018311547,805867.2849027,1219086.09028132,1147120.10913668
"61","Eastern Europe","Cropland","Sub_Region",1728652.97517683,1708713.57355675,1645971.44769436,1630379.3371065
"62","Mesoamerica","Cropland","Sub_Region",343041.331496618,393701.013418106,405211.092281776,405945.073035102
"63","North Africa","Cropland","Sub_Region",595528.362532349,699961.361686843,837033.843142436,839464.374940129
"64","North America","Cropland","Sub_Region",2109758.57309843,2269376.11384013,2159909.96837936,2076338.80441307
"65","North-East Asia","Cropland","Sub_Region",1408483.45356268,1486046.912202,1369166.09271021,1327129.34680714
"66","Oceania","Cropland","Sub_Region",518912.885020448,557942.502106073,644931.788826944,612600.882265637
"67","South America","Cropland","Sub_Region",1687252.2039913,1772422.08317769,1582783.27891558,1576011.67013307
"68","South Asia","Cropland","Sub_Region",2475889.9198133,2617523.66401417,2490364.18081843,2533932.26373607
"69","South-East Asia","Cropland","Sub_Region",1216864.85406864,1304527.55127144,1233675.00140599,1225696.90587727
"70","Southern Africa","Cropland","Sub_Region",379814.999466095,597956.548875485,1044449.4864565,1195255.28649389
"71","West Africa","Cropland","Sub_Region",1083554.24768543,1243663.40404172,1388432.89671162,1534518.33808903
"72","Western Asia","Cropland","Sub_Region",147039.947535604,166617.093308523,161042.285180977,178439.018315538
"73","Antarctica","Secondary_vegetation","Sub_Region",0,0,0,0
"74","Caribbean","Secondary_vegetation","Sub_Region",15799.128971851,38856.0549495515,50516.8567733533,49489.490606513
"75","Central Africa","Secondary_vegetation","Sub_Region",722275.091564362,1114877.97994707,1183939.44331582,1132027.8636811
"76","Central Asia","Secondary_vegetation","Sub_Region",163536.193640002,321393.017794131,482446.880829485,334949.883601177
"77","Central and Western Europe","Secondary_vegetation","Sub_Region",1858325.72593165,2326532.40750192,3218599.78916819,3365210.27689149
"78","East Africa and adjacent islands","Secondary_vegetation","Sub_Region",402850.746799863,509556.098267378,593961.246004202,560939.988455425
"79","Eastern Europe","Secondary_vegetation","Sub_Region",1717794.37202441,2728109.46330432,3756287.77230572,3943713.15760013
"80","Mesoamerica","Secondary_vegetation","Sub_Region",107871.097721673,248502.920546465,446423.999187618,448358.212321157
"81","North Africa","Secondary_vegetation","Sub_Region",104909.342275483,430336.026215533,496132.050078546,428980.203517147
"82","North America","Secondary_vegetation","Sub_Region",2079664.23635427,3852355.99163297,5919208.01140455,6430427.85063479
"83","North-East Asia","Secondary_vegetation","Sub_Region",1189574.66009376,1943751.92145601,2433717.2472611,2783626.62583075
"84","Oceania","Secondary_vegetation","Sub_Region",831795.298742825,1475410.20994946,2003672.84840177,2004535.05962946
"85","South America","Secondary_vegetation","Sub_Region",1663971.02440686,2873567.96070805,4601128.84962678,4220214.88096052
"86","South Asia","Secondary_vegetation","Sub_Region",809919.73352856,1306020.98831598,1443402.40401482,1412520.92665476
"87","South-East Asia","Secondary_vegetation","Sub_Region",680981.891970538,788487.40374316,1057942.96098869,1174319.46330958
"88","Southern Africa","Secondary_vegetation","Sub_Region",354239.553064381,588708.774820813,906146.245822397,1049784.76911724
"89","West Africa","Secondary_vegetation","Sub_Region",400630.903362096,440115.866082678,585400.092037639,485945.043403558
"90","Western Asia","Secondary_vegetation","Sub_Region",16273.9896201236,407683.550871026,435211.341077868,408917.820932424
"91","Antarctica","Permanent_crops","Sub_Region",0,0,0,0
"92","Caribbean","Permanent_crops","Sub_Region",0,0,0,0
"93","Central Africa","Permanent_crops","Sub_Region",0,0,0,0
"94","Central Asia","Permanent_crops","Sub_Region",0,0,0,0
"95","Central and Western Europe","Permanent_crops","Sub_Region",0,0,0,0
"96","East Africa and adjacent islands","Permanent_crops","Sub_Region",0,0,0,0
"97","Eastern Europe","Permanent_crops","Sub_Region",0,0,0,0
"98","Mesoamerica","Permanent_crops","Sub_Region",0,0,0,0
"99","North Africa","Permanent_crops","Sub_Region",0,0,0,0
"100","North America","Permanent_crops","Sub_Region",0,0,0,0
"101","North-East Asia","Permanent_crops","Sub_Region",0,0,0,0
"102","Oceania","Permanent_crops","Sub_Region",0,0,0,0
"103","South America","Permanent_crops","Sub_Region",0,0,0,0
"104","South Asia","Permanent_crops","Sub_Region",0,0,0,0
"105","South-East Asia","Permanent_crops","Sub_Region",0,0,0,0
"106","Southern Africa","Permanent_crops","Sub_Region",0,0,0,0
"107","West Africa","Permanent_crops","Sub_Region",0,0,0,0
"108","Western Asia","Permanent_crops","Sub_Region",0,0,0,0
"109","Antarctica","Pasture","Sub_Region",0,0,0,0
"110","Caribbean","Pasture","Sub_Region",61017.6212125491,52372.9696759414,43926.8988479396,44825.3256424196
"111","Central Africa","Pasture","Sub_Region",1054313.95546769,878255.202518564,703041.159350178,720539.159980843
"112","Central Asia","Pasture","Sub_Region",2608451.8509157,2477370.50076733,2342408.36986931,2542070.25566618
"113","Central and Western Europe","Pasture","Sub_Region",889673.672904857,671234.292742526,337081.386070766,304175.870386952
"114","East Africa and adjacent islands","Pasture","Sub_Region",1865918.01203581,1701241.67898217,1296166.30984531,1400831.65311414
"115","Eastern Europe","Pasture","Sub_Region",1141359.01743065,859900.560501515,494400.187733332,522070.283470932
"116","Mesoamerica","Pasture","Sub_Region",919682.713247287,781115.83111562,585669.137371323,585651.22324807
"117","North Africa","Pasture","Sub_Region",1384113.9003907,1328094.41974189,1129880.44565372,1196340.83430352
"118","North America","Pasture","Sub_Region",2673726.15309633,2013097.05337156,1049120.62867594,1049889.10822881
"119","North-East Asia","Pasture","Sub_Region",5188099.90176893,5035906.93274727,4659018.60387009,4367092.72995059
"120","Oceania","Pasture","Sub_Region",3460741.77670474,3312859.4123369,2776356.40918165,2854862.31644863
"121","South America","Pasture","Sub_Region",4809738.25044835,4035679.17399607,2978910.33877257,3369351.32326762
"122","South Asia","Pasture","Sub_Region",1649970.67143997,1251512.63971686,1246700.81569107,1246069.81076181
"123","South-East Asia","Pasture","Sub_Region",176870.51183418,151436.754621127,110645.019406399,114170.994013574
"124","Southern Africa","Pasture","Sub_Region",2874236.36102222,2551690.24975975,1859364.13286905,1589587.59623828
"125","West Africa","Pasture","Sub_Region",1457636.30465252,1275559.12217481,966225.459471915,909168.130314724
"126","Western Asia","Pasture","Sub_Region",884112.764406667,1219024.89282538,1189453.79251737,1196032.4322733
"127","Antarctica","Primary_vegetation","Sub_Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"128","Caribbean","Primary_vegetation","Sub_Region",100304.942134793,90468.1427441018,86343.1489172693,86198.4591132004
"129","Central Africa","Primary_vegetation","Sub_Region",3275868.94337893,2938778.78045865,2906226.96699123,2905323.52399036
"130","Central Asia","Primary_vegetation","Sub_Region",835998.007339909,740923.283163934,739150.106035862,698663.187648246
"131","Central and Western Europe","Primary_vegetation","Sub_Region",1477884.8365737,1093206.91696468,703495.614393764,585951.581421012
"132","East Africa and adjacent islands","Primary_vegetation","Sub_Region",1952169.85345905,1844261.7077922,1736692.49300147,1728867.1555645
"133","Eastern Europe","Primary_vegetation","Sub_Region",13315374.0023379,12604890.3448554,12005303.4025242,11810918.9690244
"134","Mesoamerica","Primary_vegetation","Sub_Region",1096596.84702361,1040470.97347961,1021910.1733263,1019765.12452916
"135","North Africa","Primary_vegetation","Sub_Region",6569831.70225845,6191000.12383703,6176421.94493098,6172652.11805884
"136","North America","Primary_vegetation","Sub_Region",12886067.1380674,11579776.8144628,10527102.988333,10070577.6976291
"137","North-East Asia","Primary_vegetation","Sub_Region",3689241.23344588,2996041.8878632,2987982.82525139,2986417.69002163
"138","Oceania","Primary_vegetation","Sub_Region",3713194.8263999,3175087.27163253,3090833.51208352,3041873.88294644
"139","South America","Primary_vegetation","Sub_Region",9509935.22841532,8981319.26070303,8492575.87158676,8492473.02106154
"140","South Asia","Primary_vegetation","Sub_Region",1684495.39674748,1427014.77409481,1387634.48483838,1371797.55448286
"141","South-East Asia","Primary_vegetation","Sub_Region",2287096.30744237,2107467.06656646,1929728.91338227,1814623.70977082
"142","Southern Africa","Primary_vegetation","Sub_Region",2319517.28422227,2184313.46463868,2101215.54255991,2068284.95819589
"143","West Africa","Primary_vegetation","Sub_Region",2039753.13257194,2013685.83129803,2012283.50755502,2011091.04498148
"144","Western Asia","Primary_vegetation","Sub_Region",2455003.57221877,1704972.3539674,1704629.1677195,1704508.38604527
