"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"42","Mesoamerica","Sub_Region","Forest","2020_2070",1255246.63757734,1168607.27293219,-0.0142020660256232
"43","North Africa","Sub_Region","Forest","2020_2030",6793669.35796354,6554722.50683753,-0.00713550423888776
"44","North Africa","Sub_Region","Forest","2020_2050",6793669.35796354,6486830.97296826,-0.00920082777919451
"45","North Africa","Sub_Region","Forest","2020_2070",6793669.35796354,6445968.02307212,-0.010452267237927
"46","North America","Sub_Region","Forest","2020_2030",13938129.6503301,12508624.6498532,-0.0214094622126981
"47","North America","Sub_Region","Forest","2020_2050",13938129.6503301,12120540.0550808,-0.027558478325073
"48","North America","Sub_Region","Forest","2020_2070",13938129.6503301,11734607.9590578,-0.0338316270124778
"49","North-East Asia","Sub_Region","Forest","2020_2030",4716374.38357354,4160972.213102,-0.0247469689838719
"50","North-East Asia","Sub_Region","Forest","2020_2050",4716374.38357354,4113359.24626735,-0.0269891708084404
"51","North-East Asia","Sub_Region","Forest","2020_2070",4716374.38357354,3913230.71108812,-0.036647039704065
"52","Oceania","Sub_Region","Forest","2020_2030",4379473.24899921,4107687.94396082,-0.0127318806609839
"53","Oceania","Sub_Region","Forest","2020_2050",4379473.24899921,3942215.42092723,-0.0208173832681007
"54","Oceania","Sub_Region","Forest","2020_2070",4379473.24899921,3937160.69604146,-0.0210686145517079
"55","South America","Sub_Region","Forest","2020_2030",10630251.1912534,10014904.4121709,-0.0118550481291906
"56","South America","Sub_Region","Forest","2020_2050",10630251.1912534,9795964.85004745,-0.0162137728066127
"57","South America","Sub_Region","Forest","2020_2070",10630251.1912534,9741342.91424348,-0.0173133390909286
"58","South Asia","Sub_Region","Forest","2020_2030",2232454.03552436,1958237.97186072,-0.025870740281794
"59","South Asia","Sub_Region","Forest","2020_2050",2232454.03552436,1930830.93060415,-0.0286128719667754
"60","South Asia","Sub_Region","Forest","2020_2070",2232454.03552436,1892355.136518,-0.0325154831788722
"61","South-East Asia","Sub_Region","Forest","2020_2030",2564104.14878995,2420036.03570177,-0.0114987238823339
"62","South-East Asia","Sub_Region","Forest","2020_2050",2564104.14878995,2304838.251986,-0.0210940723510638
"63","South-East Asia","Sub_Region","Forest","2020_2070",2564104.14878995,2231818.6264883,-0.0273767491629056
"64","Southern Africa","Sub_Region","Forest","2020_2030",2775916.36172674,2632430.43468887,-0.010558537944236
"65","Southern Africa","Sub_Region","Forest","2020_2050",2775916.36172674,2553744.43225203,-0.0165456373619793
"66","Southern Africa","Sub_Region","Forest","2020_2070",2775916.36172674,2385636.36524386,-0.0298484677916969
"67","West Africa","Sub_Region","Forest","2020_2030",2378544.86878641,2281342.54109076,-0.0083102369883975
"68","West Africa","Sub_Region","Forest","2020_2050",2378544.86878641,2257405.99151742,-0.01040004924453
"69","West Africa","Sub_Region","Forest","2020_2070",2378544.86878641,2185376.15229894,-0.0167975088764298
"70","Western Asia","Sub_Region","Forest","2020_2030",2574562.21101182,2217851.60703097,-0.0293876367540763
"71","Western Asia","Sub_Region","Forest","2020_2050",2574562.21101182,2205689.10120764,-0.0304545304295586
"72","Western Asia","Sub_Region","Forest","2020_2070",2574562.21101182,2167141.09019228,-0.0338673497623441
"73","Africa","Region","Non_Forest","2020_2030",18223844.7249185,17609270.9985515,-0.00683758891522457
"74","Africa","Region","Non_Forest","2020_2050",18223844.7249185,16969267.367273,-0.014164127399762
"75","Africa","Region","Non_Forest","2020_2070",18223844.7249185,16927806.0753057,-0.0146463407328368
"76","Americas","Region","Non_Forest","2020_2030",23032737.2863577,23219674.9538652,0.00161799022432385
"77","Americas","Region","Non_Forest","2020_2050",23032737.2863577,23108157.5042509,0.000654039733289258
"78","Americas","Region","Non_Forest","2020_2070",23032737.2863577,23348218.1808433,0.002724526362889
"79","Antarctica","Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"80","Antarctica","Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"81","Antarctica","Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"82","Antarctica","Sub_Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"83","Antarctica","Sub_Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"84","Antarctica","Sub_Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"85","Asia and the Pacific","Region","Non_Forest","2020_2030",22719451.9850387,22800715.2150401,0.000714341293075238
"86","Asia and the Pacific","Region","Non_Forest","2020_2050",22719451.9850387,22708826.7999884,-9.35513166731017e-05
"87","Asia and the Pacific","Region","Non_Forest","2020_2070",22719451.9850387,22488174.4118006,-0.00204428436640292
"88","Caribbean","Sub_Region","Non_Forest","2020_2030",158218.610312314,147591.084975814,-0.0138101873702912
"89","Caribbean","Sub_Region","Non_Forest","2020_2050",158218.610312314,144367.739153974,-0.0181559379999765
"90","Caribbean","Sub_Region","Non_Forest","2020_2070",158218.610312314,142061.792769946,-0.0213127171927114
"91","Central Africa","Sub_Region","Non_Forest","2020_2030",3005449.39756114,3064175.75801922,0.00387780044085417
"92","Central Africa","Sub_Region","Non_Forest","2020_2050",3005449.39756114,2996126.11641631,-0.000621196385949263
"93","Central Africa","Sub_Region","Non_Forest","2020_2070",3005449.39756114,2996251.81910861,-0.000612810724386903
"94","Central Asia","Sub_Region","Non_Forest","2020_2030",3284961.67959326,3331672.60321584,0.00282788585465732
"95","Central Asia","Sub_Region","Non_Forest","2020_2050",3284961.67959326,3347994.43704941,0.00380853499796063
"96","Central Asia","Sub_Region","Non_Forest","2020_2070",3284961.67959326,3342579.72754514,0.00348363294948806
