"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"106","Southern Africa","Permanent_crops","Sub_Region",0,393723.112236898,460673.655543536,749610.890739678
"107","West Africa","Permanent_crops","Sub_Region",0,1095702.61693219,1238370.8448019,1364034.16213792
"108","Western Asia","Permanent_crops","Sub_Region",0,2752.015263961,2762.69689827907,2757.72547970729
"109","Antarctica","Pasture","Sub_Region",0,0,0,0
"110","Caribbean","Pasture","Sub_Region",61017.6212125491,47793.5653128074,42347.9318898413,44046.0031005247
"111","Central Africa","Pasture","Sub_Region",1054313.95546769,890981.270017772,786556.514127189,715937.953153243
"112","Central Asia","Pasture","Sub_Region",2608451.8509157,2646655.91693888,2611257.31702933,2631818.96435171
"113","Central and Western Europe","Pasture","Sub_Region",889673.672904857,752873.554846153,552999.592894625,528800.847807676
"114","East Africa and adjacent islands","Pasture","Sub_Region",1865918.01203581,1873509.02724193,1714704.9560902,1550137.01224324
"115","Eastern Europe","Pasture","Sub_Region",1141359.01743065,974202.31763276,784273.883475589,795947.767299804
"116","Mesoamerica","Pasture","Sub_Region",919682.713247287,855384.051492491,709700.029349115,739664.103646008
"117","North Africa","Pasture","Sub_Region",1384113.9003907,1495075.21349617,1322656.86565942,1331807.78091739
"118","North America","Pasture","Sub_Region",2673726.15309633,2299277.7445264,1712620.87671819,1683905.59894141
"119","North-East Asia","Pasture","Sub_Region",5188099.90176893,5186006.9173289,4835522.21764766,4438143.04359419
"120","Oceania","Pasture","Sub_Region",3460741.77670474,3429767.069194,3386154.46988705,3430155.56252088
"121","South America","Pasture","Sub_Region",4809738.25044835,4483387.60858696,4179934.23036167,4425610.61029878
"122","South Asia","Pasture","Sub_Region",1649970.67143997,1608838.89569533,1577131.33030685,1601416.26622474
"123","South-East Asia","Pasture","Sub_Region",176870.51183418,135775.267312903,103568.804916357,104263.316605668
"124","Southern Africa","Pasture","Sub_Region",2874236.36102222,2833159.21928815,2361831.41664519,1870072.65295222
"125","West Africa","Pasture","Sub_Region",1457636.30465252,1234309.80130485,1025474.82550646,972538.719425838
"126","Western Asia","Pasture","Sub_Region",884112.764406667,957819.803544626,958468.307169758,962582.835406952
"127","Antarctica","Primary_vegetation","Sub_Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"128","Caribbean","Primary_vegetation","Sub_Region",100304.942134793,86503.9925528318,84469.885116889,84433.2861718629
"129","Central Africa","Primary_vegetation","Sub_Region",3275868.94337893,3003422.85121505,2996269.08804731,2984849.67265843
"130","Central Asia","Primary_vegetation","Sub_Region",835998.007339909,554829.687842159,527237.534769648,525822.29926522
"131","Central and Western Europe","Primary_vegetation","Sub_Region",1477884.8365737,688927.478036945,530788.475614696,391430.372329587
"132","East Africa and adjacent islands","Primary_vegetation","Sub_Region",1952169.85345905,1531340.98741299,1449192.96147883,1445523.67393128
"133","Eastern Europe","Primary_vegetation","Sub_Region",13315374.0023379,12743001.6707171,12261286.9407288,12079237.0037193
"134","Mesoamerica","Primary_vegetation","Sub_Region",1096596.84702361,979646.430228781,976476.723856729,975740.477770264
"135","North Africa","Primary_vegetation","Sub_Region",6569831.70225845,6168133.48055885,6096333.84498668,6074747.60827728
"136","North America","Primary_vegetation","Sub_Region",12886067.1380674,11133545.9185292,10506725.2003253,9958201.27432827
"137","North-East Asia","Primary_vegetation","Sub_Region",3689241.23344588,2346594.99988913,2306132.07755736,2273600.4045512
"138","Oceania","Primary_vegetation","Sub_Region",3713194.8263999,3555769.25932017,3520630.25367744,3489825.20639598
"139","South America","Primary_vegetation","Sub_Region",9509935.22841532,8824763.48976241,8636479.59872945,8466134.84887498
"140","South Asia","Primary_vegetation","Sub_Region",1684495.39674748,1237205.81715698,1186914.34023034,1049210.31293953
"141","South-East Asia","Primary_vegetation","Sub_Region",2287096.30744237,2108564.49717373,1975142.91284961,1856252.86341143
"142","Southern Africa","Primary_vegetation","Sub_Region",2319517.28422227,2033415.06112375,1987261.3144092,1951517.3663642
"143","West Africa","Primary_vegetation","Sub_Region",2039753.13257194,1719508.1975178,1718673.19945798,1717962.16750525
"144","Western Asia","Primary_vegetation","Sub_Region",2455003.57221877,2255907.35411976,2227735.63578917,2221805.24485588
