"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"119","North America","Sub_Region","Non_Forest","2020_2050",10513514.3245931,10641078.0334808,0.00241496927134421
"120","North America","Sub_Region","Non_Forest","2020_2070",10513514.3245931,10743801.4101204,0.00434289658773834
"121","North-East Asia","Sub_Region","Non_Forest","2020_2030",8304844.64266496,8587852.22041626,0.00672443532384226
"122","North-East Asia","Sub_Region","Non_Forest","2020_2050",8304844.64266496,8458707.06966732,0.00367820744007963
"123","North-East Asia","Sub_Region","Non_Forest","2020_2070",8304844.64266496,8308839.00865863,9.61751344430439e-05
"124","Oceania","Sub_Region","Non_Forest","2020_2030",5795027.2296604,5801780.68821662,0.000232969141535255
"125","Oceania","Sub_Region","Non_Forest","2020_2050",5795027.2296604,5789468.88160491,-0.000191905286974992
"126","Oceania","Sub_Region","Non_Forest","2020_2070",5795027.2296604,5811540.24628363,0.000569254515985884
"127","South America","Sub_Region","Non_Forest","2020_2030",10717185.0303424,10466600.9507415,-0.00472066349170397
"128","South America","Sub_Region","Non_Forest","2020_2050",10717185.0303424,10428828.8775363,-0.00544005939838144
"129","South America","Sub_Region","Non_Forest","2020_2070",10717185.0303424,10551021.3384402,-0.00312029495717137
"130","South Asia","Sub_Region","Non_Forest","2020_2030",4366617.57997439,4321772.2615469,-0.00206249740152886
"131","South Asia","Sub_Region","Non_Forest","2020_2050",4366617.57997439,4302913.63636821,-0.00293494802558247
"132","South Asia","Sub_Region","Non_Forest","2020_2070",4366617.57997439,4147843.66887397,-0.0102273609767237
"133","South-East Asia","Sub_Region","Non_Forest","2020_2030",2277585.34175769,2115762.82133657,-0.0146319771444962
"134","South-East Asia","Sub_Region","Non_Forest","2020_2050",2277585.34175769,2122771.18831525,-0.0139800431279008
"135","South-East Asia","Sub_Region","Non_Forest","2020_2070",2277585.34175769,2074798.16666676,-0.0184775459537654
"136","Southern Africa","Sub_Region","Non_Forest","2020_2030",4263967.69428579,4213856.05285013,-0.00236159801249314
"137","Southern Africa","Sub_Region","Non_Forest","2020_2050",4263967.69428579,4024093.62709225,-0.0115132910629301
"138","Southern Africa","Sub_Region","Non_Forest","2020_2070",4263967.69428579,3772926.03681637,-0.0241728948148464
"139","West Africa","Sub_Region","Non_Forest","2020_2030",3198023.52039289,2916960.11284072,-0.0182299769509091
"140","West Africa","Sub_Region","Non_Forest","2020_2050",3198023.52039289,2796660.86385154,-0.0264648640667958
"141","West Africa","Sub_Region","Non_Forest","2020_2070",3198023.52039289,2741803.50922524,-0.0303144255045857
"142","Western Asia","Sub_Region","Non_Forest","2020_2030",1975377.19098128,2045048.99335042,0.00695656203040262
"143","Western Asia","Sub_Region","Non_Forest","2020_2050",1975377.19098128,2047942.19026832,0.0072413157355693
"144","Western Asia","Sub_Region","Non_Forest","2020_2070",1975377.19098128,2049997.95826213,0.00744345264571766
