"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"34","Antarctica","Primary_vegetation","Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"35","Asia and the Pacific","Primary_vegetation","Region",16098811.059064,15681913.7999404,15186436.0458552,15021088.989638
"36","Europe and Central Asia","Primary_vegetation","Region",16906641.0276071,16705827.3164895,16084436.5942613,15727275.2402497
"37","Antarctica","Urban","Sub_Region",0,0,0,0
"38","Caribbean","Urban","Sub_Region",8002.97697181558,8979.60290141252,10294.2400039596,10977.6730241323
"39","Central Africa","Urban","Sub_Region",7019.51985814099,11308.823731406,17115.713687339,21198.2791888325
"40","Central Asia","Urban","Sub_Region",8941.48973320515,12105.1362408251,14728.0413164653,14731.1724206269
"41","Central and Western Europe","Urban","Sub_Region",131284.009046408,141750.503095943,155825.75451369,159482.634302234
"42","East Africa and adjacent islands","Urban","Sub_Region",10759.3801159306,15674.982441391,24619.6736226317,29389.9885941751
"43","Eastern Europe","Urban","Sub_Region",34689.5952700699,37100.3771334936,39311.9897308298,39323.7178210832
"44","Mesoamerica","Urban","Sub_Region",19714.1931982401,24327.4989586057,28342.1465904237,28579.8039317515
"45","North Africa","Urban","Sub_Region",22447.572946135,26431.8368265952,35169.6836198508,38280.8040114121
"46","North America","Urban","Sub_Region",244883.097379737,294849.415234044,346575.511332929,374960.049862348
"47","North-East Asia","Urban","Sub_Region",90675.3149228391,102172.673231697,107547.301182955,107555.243843607
"48","Oceania","Urban","Sub_Region",25102.7934572582,29150.7544820625,36432.1666304764,40808.1325741445
"49","South America","Urban","Sub_Region",62618.6521185024,70497.2939089207,77578.0081324596,78961.8256142645
"50","South Asia","Urban","Sub_Region",46282.4537058142,64857.6377468036,89843.2377566221,97966.0366248677
"51","South-East Asia","Urban","Sub_Region",35147.8427791316,45477.2603827506,57781.1731944701,60653.9723556661
"52","Southern Africa","Urban","Sub_Region",16279.4218709998,21252.2852289234,28481.9175457167,33691.187127831
"53","West Africa","Urban","Sub_Region",21957.8761414297,33952.967827121,52152.5522437936,63970.3910252909
"54","Western Asia","Urban","Sub_Region",21657.9143857557,27517.9047821882,36573.5293161658,41241.2290685264
"55","Antarctica","Cropland","Sub_Region",0,0,0,0
"56","Caribbean","Cropland","Sub_Region",71211.222012388,79315.4630781722,83365.1347644902,83150.0566674638
"57","Central Africa","Cropland","Sub_Region",282835.967461203,434381.503138661,567239.853741167,639695.733735224
"58","Central Asia","Cropland","Sub_Region",405621.155316405,402635.3484539,402526.127881034,404184.7609467
"59","Central and Western Europe","Cropland","Sub_Region",1510246.64659161,1527029.55306714,1523381.50610731,1529275.47788687
"60","East Africa and adjacent islands","Cropland","Sub_Region",597045.862259464,740131.546963512,925294.349418346,993531.601971296
"61","Eastern Europe","Cropland","Sub_Region",1722159.29726119,1727026.89366707,1749035.77682726,1845141.68824797
"62","Mesoamerica","Cropland","Sub_Region",311119.64350141,311246.349294209,388893.973493797,393941.630970597
"63","North Africa","Cropland","Sub_Region",548382.720914881,699888.863261012,776188.588208246,810663.459051738
"64","North America","Cropland","Sub_Region",2125043.11036187,2144104.94386134,2225204.55705062,2322914.54795081
"65","North-East Asia","Cropland","Sub_Region",1403519.30826426,1407644.66462648,1408505.99589176,1409137.51967117
"66","Oceania","Cropland","Sub_Region",351271.188680195,405918.796119192,499451.26277996,498972.2454033
"67","South America","Cropland","Sub_Region",1448435.73300834,1475062.96702305,1851118.38670036,2205002.48984018
"68","South Asia","Cropland","Sub_Region",2450615.83555922,2502626.63602643,2548463.11335559,2564004.14100747
"69","South-East Asia","Cropland","Sub_Region",1314450.03608204,1391557.27843627,1443173.46330047,1441280.14912315
"70","Southern Africa","Cropland","Sub_Region",374385.429630709,403862.896625847,484975.021365675,545289.059949447
"71","West Africa","Cropland","Sub_Region",1190630.85813561,1249491.7460947,1518563.16846703,1711728.93691466
"72","Western Asia","Cropland","Sub_Region",150833.187609585,148961.199665187,145593.420257428,143978.239813124
"73","Antarctica","Secondary_vegetation","Sub_Region",0,0,0,0
"74","Caribbean","Secondary_vegetation","Sub_Region",12275.9193469587,12520.5575687107,12455.9843158043,15660.0793893386
"75","Central Africa","Secondary_vegetation","Sub_Region",1151178.99804045,1214828.38685189,1203659.24288816,1167620.16701469
"76","Central Asia","Secondary_vegetation","Sub_Region",36718.0072203675,37644.4905691719,37970.318054145,38062.4103817196
"77","Central and Western Europe","Secondary_vegetation","Sub_Region",1363839.52238465,1396767.37541572,1699671.67488815,1870991.26217211
"78","East Africa and adjacent islands","Secondary_vegetation","Sub_Region",262422.978845118,205883.824549793,204440.223633658,202257.840271846
"79","Eastern Europe","Secondary_vegetation","Sub_Region",1168428.47230313,1228306.55472372,1505303.39662212,1574737.77793495
"80","Mesoamerica","Secondary_vegetation","Sub_Region",107694.043585554,77014.55074644,80826.6450489123,93767.6736738021
"81","North Africa","Secondary_vegetation","Sub_Region",30836.4921444752,16287.1061516386,15068.5984046159,12939.9083781716
"82","North America","Secondary_vegetation","Sub_Region",2095456.32398156,2058523.06900879,2508077.93115012,2666977.71762652
"83","North-East Asia","Secondary_vegetation","Sub_Region",947933.193491981,998209.110072732,1007375.92830542,1015965.00375006
"84","Oceania","Secondary_vegetation","Sub_Region",350810.747886753,331004.646368829,379929.501339298,390011.153274857
"85","South America","Secondary_vegetation","Sub_Region",690166.774025257,652631.419067866,776385.707624383,893974.225186625
"86","South Asia","Secondary_vegetation","Sub_Region",465000.732870837,447121.036804191,439547.674790307,439222.102524311
"87","South-East Asia","Secondary_vegetation","Sub_Region",282937.662896852,272503.154449849,476864.143720525,539795.883977816
"88","Southern Africa","Secondary_vegetation","Sub_Region",90148.9177174376,90337.3679917353,96062.2021863705,97440.1420491635
"89","West Africa","Secondary_vegetation","Sub_Region",331213.324907772,454407.390701051,415360.889977499,325095.925211816
"90","Western Asia","Secondary_vegetation","Sub_Region",1049.55928730932,293.663394560541,293.663394560541,293.663394560541
"91","Antarctica","Permanent_crops","Sub_Region",0,0,0,0
"92","Caribbean","Permanent_crops","Sub_Region",0,0,0,0
"93","Central Africa","Permanent_crops","Sub_Region",0,0,0,0
"94","Central Asia","Permanent_crops","Sub_Region",0,0,0,0
"95","Central and Western Europe","Permanent_crops","Sub_Region",0,0,0,0
"96","East Africa and adjacent islands","Permanent_crops","Sub_Region",0,0,0,0
"97","Eastern Europe","Permanent_crops","Sub_Region",0,0,0,0
"98","Mesoamerica","Permanent_crops","Sub_Region",0,0,0,0
"99","North Africa","Permanent_crops","Sub_Region",0,0,0,0
"100","North America","Permanent_crops","Sub_Region",0,0,0,0
"101","North-East Asia","Permanent_crops","Sub_Region",0,0,0,0
"102","Oceania","Permanent_crops","Sub_Region",0,0,0,0
"103","South America","Permanent_crops","Sub_Region",0,0,0,0
"104","South Asia","Permanent_crops","Sub_Region",0,0,0,0
"105","South-East Asia","Permanent_crops","Sub_Region",0,0,0,0
"106","Southern Africa","Permanent_crops","Sub_Region",0,0,0,0
"107","West Africa","Permanent_crops","Sub_Region",0,0,0,0
"108","Western Asia","Permanent_crops","Sub_Region",0,0,0,0
"109","Antarctica","Pasture","Sub_Region",0,0,0,0
"110","Caribbean","Pasture","Sub_Region",61686.2929735719,58684.5232897001,53566.9254865114,56065.5905328107
"111","Central Africa","Pasture","Sub_Region",1077448.12423584,1053027.87025612,985777.196370338,994248.156260742
"112","Central Asia","Pasture","Sub_Region",2523879.84765197,2625463.59422815,2650190.88398293,2660040.41008868
"113","Central and Western Europe","Pasture","Sub_Region",868339.853931666,844785.086935766,832664.411542039,838088.993746504
"114","East Africa and adjacent islands","Pasture","Sub_Region",1838426.28134206,1848655.71770995,1867085.06029167,1874486.61727879
"115","Eastern Europe","Pasture","Sub_Region",1141572.64462557,1135082.04003341,1126477.7936509,1120188.72367333
"116","Mesoamerica","Pasture","Sub_Region",907627.383653617,911226.244940871,904103.016034584,900950.324695183
"117","North Africa","Pasture","Sub_Region",1354147.12048872,1424735.36731832,1595220.45258585,1652652.0736681
"118","North America","Pasture","Sub_Region",2593480.42636134,2622440.05410674,2620271.45139991,2673702.85653321
"119","North-East Asia","Pasture","Sub_Region",4903578.16277644,5018800.84378506,5015369.19595397,5014623.46023614
"120","Oceania","Pasture","Sub_Region",3133768.91569411,3171209.24242336,3180669.01074639,3224229.46229251
"121","South America","Pasture","Sub_Region",4665365.28793755,4755706.28915783,5124258.7877688,5899841.61820055
"122","South Asia","Pasture","Sub_Region",1613978.42908343,1627520.16644429,1629026.27284003,1633624.86994733
"123","South-East Asia","Pasture","Sub_Region",165309.520537217,148936.891612057,131853.653913589,131367.372827232
"124","Southern Africa","Pasture","Sub_Region",2811655.38321917,2842778.90194741,2842923.7257829,2840138.39712923
"125","West Africa","Pasture","Sub_Region",1404828.4970193,1391728.77320424,1285355.99963052,1226216.81897333
"126","Western Asia","Pasture","Sub_Region",851706.843959797,881043.334131348,883710.941765718,888621.825385184
"127","Antarctica","Primary_vegetation","Sub_Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"128","Caribbean","Primary_vegetation","Sub_Region",104174.139498125,97850.4037005474,97668.2667429607,91497.1514772401
"129","Central Africa","Primary_vegetation","Sub_Region",2840662.5461442,2645598.56858628,2585353.14664792,2536382.81955195
"130","Central Asia","Primary_vegetation","Sub_Region",1031597.22811402,924400.904623038,896834.102008571,885230.719508726
"131","Central and Western Europe","Primary_vegetation","Sub_Region",2007521.91375973,1970899.43187685,1669688.60231531,1483393.58315331
"132","East Africa and adjacent islands","Primary_vegetation","Sub_Region",2172208.73579469,2067441.28022598,1856348.04424416,1778121.30709321
"133","Eastern Europe","Primary_vegetation","Sub_Region",13867521.8857334,13810526.9799895,13517913.8899374,13358650.9375877
"134","Mesoamerica","Primary_vegetation","Sub_Region",1141244.72236787,1163585.34315225,1085234.20589289,1070160.55293627
"135","North Africa","Primary_vegetation","Sub_Region",6718035.62829054,6506506.35742731,6252202.20595648,6159313.28773358
"136","North America","Primary_vegetation","Sub_Region",12941141.1373316,12874259.912774,12294047.9418125,11955622.2294647
"137","North-East Asia","Primary_vegetation","Sub_Region",4222817.08410692,4041695.77045453,4029724.64021005,4021241.83584234
"138","Oceania","Primary_vegetation","Sub_Region",4686120.85302234,4609791.05550552,4450592.5547806,4393053.50275627
"139","South America","Primary_vegetation","Sub_Region",10863317.8194781,10776006.311243,9900563.37657928,8652124.10924588
"140","South Asia","Primary_vegetation","Sub_Region",2093393.98477923,2027145.96013614,1962391.1367205,1934454.28623464
"141","South-East Asia","Primary_vegetation","Sub_Region",2599418.21640824,2538788.6897029,2287590.84348579,2224165.89839495
"142","Southern Africa","Primary_vegetation","Sub_Region",2651545.18739194,2585782.8808497,2491571.47255056,2427455.54895121
"143","West Africa","Primary_vegetation","Sub_Region",2055266.65188874,1874316.32622597,1732464.59152456,1676885.13296238
"144","Western Asia","Primary_vegetation","Sub_Region",2497060.9207473,2464492.32414138,2456136.87065826,2448173.46640981
