"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"21","Central Africa","Sub_Region","Forest","2020_2070",3302895.09354359,3013844.04133791,-0.0181498766585851
"22","Central Asia","Sub_Region","Forest","2020_2030",1357923.25233836,1263471.65631351,-0.0143152084160889
"23","Central Asia","Sub_Region","Forest","2020_2050",1357923.25233836,1239513.62202826,-0.0180820125897032
"24","Central Asia","Sub_Region","Forest","2020_2070",1357923.25233836,1229165.33312879,-0.0197270570177368
"25","Central and Western Europe","Sub_Region","Forest","2020_2030",2593008.40178899,2566159.81618156,-0.00207947494117389
"26","Central and Western Europe","Sub_Region","Forest","2020_2050",2593008.40178899,2351321.63940098,-0.019378020211352
"27","Central and Western Europe","Sub_Region","Forest","2020_2070",2593008.40178899,2214645.62219391,-0.0310529080017081
"28","East Africa and adjacent islands","Sub_Region","Forest","2020_2030",2491017.81985088,2379637.64016079,-0.00910691176164324
"29","East Africa and adjacent islands","Sub_Region","Forest","2020_2050",2491017.81985088,2181239.05638439,-0.0262100542295277
"30","East Africa and adjacent islands","Sub_Region","Forest","2020_2070",2491017.81985088,2107658.52154737,-0.0328703836120485
"31","Eastern Europe","Sub_Region","Forest","2020_2030",14416992.7662583,14376768.7494497,-0.000558632211818844
"32","Eastern Europe","Sub_Region","Forest","2020_2050",14416992.7662583,14162047.4075774,-0.00356201996853545
"33","Eastern Europe","Sub_Region","Forest","2020_2070",14416992.7662583,14025989.6111152,-0.00548401849754931
"34","Europe and Central Asia","Region","Forest","2020_2030",18367924.4203856,18206400.2219449,-0.00176498309692263
"35","Europe and Central Asia","Region","Forest","2020_2050",18367924.4203856,17752882.6690067,-0.00678845339117473
"36","Europe and Central Asia","Region","Forest","2020_2070",18367924.4203856,17469800.5664379,-0.00997634224371546
"37","Global","Global","Forest","2020_2030",93860970.4031891,92246734.3408584,-0.00346354144543226
"38","Global","Global","Forest","2020_2050",93860970.4031891,89017722.4066088,-0.010539896108546
"39","Global","Global","Forest","2020_2070",93860970.4031891,86655572.9963885,-0.0158477455591859
"40","Mesoamerica","Sub_Region","Forest","2020_2030",1296804.64243184,1312126.49764088,0.00235192753510138
"41","Mesoamerica","Sub_Region","Forest","2020_2050",1296804.64243184,1238661.77093486,-0.00913238246040815
"42","Mesoamerica","Sub_Region","Forest","2020_2070",1296804.64243184,1227129.08109968,-0.0109844080514696
"43","North Africa","Sub_Region","Forest","2020_2030",6916186.78434387,6716985.90048533,-0.00582796072893688
"44","North Africa","Sub_Region","Forest","2020_2050",6916186.78434387,6487982.28791715,-0.0127012472291568
"45","North Africa","Sub_Region","Forest","2020_2070",6916186.78434387,6403593.2439487,-0.0152830697500566
"46","North America","Sub_Region","Forest","2020_2030",13988947.9145484,13928156.4943109,-0.000870649728345496
"47","North America","Sub_Region","Forest","2020_2050",13988947.9145484,13489558.5339591,-0.00724396288299445
"48","North America","Sub_Region","Forest","2020_2070",13988947.9145484,13213237.6863037,-0.0113448366637842
"49","North-East Asia","Sub_Region","Forest","2020_2030",5148452.98400104,4997801.06906134,-0.00592204486959602
"50","North-East Asia","Sub_Region","Forest","2020_2050",5148452.98400104,4989331.83136835,-0.0062591849416731
"51","North-East Asia","Sub_Region","Forest","2020_2070",5148452.98400104,4983191.24854044,-0.00650391326522559
"52","Oceania","Sub_Region","Forest","2020_2030",5172669.08195382,5098754.18783288,-0.00287437819020386
"53","Oceania","Sub_Region","Forest","2020_2050",5172669.08195382,4960515.39927167,-0.00834085487864888
"54","Oceania","Sub_Region","Forest","2020_2070",5172669.08195382,4911914.61380674,-0.0102916767518331
"55","South America","Sub_Region","Forest","2020_2030",11684518.4520061,11600450.179596,-0.00144312777099598
"56","South America","Sub_Region","Forest","2020_2050",11684518.4520061,10822124.252646,-0.0152174613652311
"57","South America","Sub_Region","Forest","2020_2070",11684518.4520061,9714172.61678259,-0.0362619643371039
"58","South Asia","Sub_Region","Forest","2020_2030",2539018.69676069,2476329.97711038,-0.00498753082567638
"59","South Asia","Sub_Region","Forest","2020_2050",2539018.69676069,2417867.44928058,-0.00973069424684692
"60","South Asia","Sub_Region","Forest","2020_2070",2539018.69676069,2393082.64880187,-0.0117692581230615
"61","South-East Asia","Sub_Region","Forest","2020_2030",2768524.5685554,2709230.28190905,-0.00432063226129864
"62","South-East Asia","Sub_Region","Forest","2020_2050",2768524.5685554,2518509.95954961,-0.0187513818702855
"63","South-East Asia","Sub_Region","Forest","2020_2070",2768524.5685554,2473200.83227164,-0.022307687427538
"64","Southern Africa","Sub_Region","Forest","2020_2030",3026683.43088092,2967210.58061327,-0.00396115977145695
"65","Southern Africa","Sub_Region","Forest","2020_2050",3026683.43088092,2880211.75406256,-0.00987167705917069
"66","Southern Africa","Sub_Region","Forest","2020_2070",3026683.43088092,2820277.25335578,-0.0140271390713091
"67","West Africa","Sub_Region","Forest","2020_2030",2373503.78593215,2231108.87929782,-0.0122974678460116
"68","West Africa","Sub_Region","Forest","2020_2050",2373503.78593215,2083105.5948399,-0.02576378079493
"69","West Africa","Sub_Region","Forest","2020_2070",2373503.78593215,2007447.7195978,-0.0329456941706964
"70","Western Asia","Sub_Region","Forest","2020_2030",2609197.70286479,2581175.34436844,-0.00215725487598539
"71","Western Asia","Sub_Region","Forest","2020_2050",2609197.70286479,2575167.18327391,-0.00262222055561601
"72","Western Asia","Sub_Region","Forest","2020_2070",2609197.70286479,2568832.24752478,-0.0031134158953976
"73","Africa","Region","Non_Forest","2020_2030",18105960.3854088,18286480.9873834,0.00198614094182092
"74","Africa","Region","Non_Forest","2020_2050",18105960.3854088,18439585.0131738,0.00365838080715397
"75","Africa","Region","Non_Forest","2020_2070",18105960.3854088,18506329.632912,0.00438390708078162
"76","Americas","Region","Non_Forest","2020_2030",22623613.3419305,22675957.5324034,0.000462311774705793
"77","Americas","Region","Non_Forest","2020_2050",22623613.3419305,23126557.0849043,0.00440716623338799
"78","Americas","Region","Non_Forest","2020_2070",22623613.3419305,23782777.0388803,0.0100435948973348
"79","Antarctica","Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"80","Antarctica","Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"81","Antarctica","Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"82","Antarctica","Sub_Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"83","Antarctica","Sub_Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"84","Antarctica","Sub_Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"85","Asia and the Pacific","Region","Non_Forest","2020_2030",21953672.1358014,22096793.3680193,0.0013004609703553
"86","Asia and the Pacific","Region","Non_Forest","2020_2050",21953672.1358014,22184979.2032293,0.00209840385344107
"87","Asia and the Pacific","Region","Non_Forest","2020_2070",21953672.1358014,22235171.6177384,0.00255143363762267
"88","Caribbean","Sub_Region","Non_Forest","2020_2030",157395.082284918,157296.499269483,-0.00012529962426866
"89","Caribbean","Sub_Region","Non_Forest","2020_2050",157395.082284918,154971.50946529,-0.00309874932438858
"90","Caribbean","Sub_Region","Non_Forest","2020_2070",157395.082284918,157083.533170576,-0.000396195454558379
"91","Central Africa","Sub_Region","Non_Forest","2020_2030",3111519.20827315,3143015.14318595,0.00201632556542441
"92","Central Africa","Sub_Region","Non_Forest","2020_2050",3111519.20827315,3128025.92390696,0.00105876249742054
"93","Central Africa","Sub_Region","Non_Forest","2020_2070",3111519.20827315,3140121.93072453,0.0018317821234739
"94","Central Asia","Sub_Region","Non_Forest","2020_2030",3212307.97506155,3270662.54656515,0.00360707065361376
"95","Central Asia","Sub_Region","Non_Forest","2020_2050",3212307.97506155,3285310.66541025,0.00450442339922619
"96","Central Asia","Sub_Region","Non_Forest","2020_2070",3212307.97506155,3291583.53962379,0.00488772492326928
"97","Central and Western Europe","Sub_Region","Non_Forest","2020_2030",3494206.31202849,3490182.32558624,-0.000230429516784869
"98","Central and Western Europe","Sub_Region","Non_Forest","2020_2050",3494206.31202849,3548745.00423742,0.00310235508655987
"99","Central and Western Europe","Sub_Region","Non_Forest","2020_2070",3494206.31202849,3591264.72846943,0.00549467566496342
"100","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2030",3243311.18924864,3265599.29025766,0.00137064163133682
"101","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2050",3243311.18924864,3314977.71722783,0.00438079211249298
"102","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2070",3243311.18924864,3333051.59197535,0.00547362552924646
"103","Eastern Europe","Sub_Region","Non_Forest","2020_2030",8500584.31690828,8512399.48091946,0.000277830327256146
"104","Eastern Europe","Sub_Region","Non_Forest","2020_2050",8500584.31690828,8573694.68874245,0.00171423848548669
"105","Eastern Europe","Sub_Region","Non_Forest","2020_2070",8500584.31690828,8605898.47784526,0.00246562133231065
"106","Europe and Central Asia","Region","Non_Forest","2020_2030",15207098.6039983,15273244.3530709,0.000868422906303845
"107","Europe and Central Asia","Region","Non_Forest","2020_2050",15207098.6039983,15407750.3583901,0.00262510368465074
"108","Europe and Central Asia","Region","Non_Forest","2020_2070",15207098.6039983,15488746.7459385,0.00367702605415166
"109","Global","Global","Non_Forest","2020_2030",87000629.6346136,87491943.3277208,0.00112690589418607
"110","Global","Global","Non_Forest","2020_2050",87000629.6346136,88381801.4537145,0.00315511226883913
"111","Global","Global","Non_Forest","2020_2070",87000629.6346136,89296747.8456971,0.00522353797317421
"112","Mesoamerica","Sub_Region","Non_Forest","2020_2030",1629808.42920279,1624755.76324713,-0.000620802196505621
"113","Mesoamerica","Sub_Region","Non_Forest","2020_2050",1629808.42920279,1637533.18727024,0.000946142418995155
"114","Mesoamerica","Sub_Region","Non_Forest","2020_2070",1629808.42920279,1639593.32798696,0.00119786897889584
"115","North Africa","Sub_Region","Non_Forest","2020_2030",4411193.40766447,4482126.14902932,0.00319554567512781
"116","North Africa","Sub_Region","Non_Forest","2020_2050",4411193.40766447,4599493.20419122,0.00839521534156762
"117","North Africa","Sub_Region","Non_Forest","2020_2070",4411193.40766447,4640498.92092888,0.0101868602986024
"118","North America","Sub_Region","Non_Forest","2020_2030",10474574.3994184,10481326.2425255,0.000128885482977514
"119","North America","Sub_Region","Non_Forest","2020_2050",10474574.3994184,10593619.9581434,0.00226277508260964
"120","North America","Sub_Region","Non_Forest","2020_2070",10474574.3994184,10679642.8059391,0.00388523864317913
"121","North-East Asia","Sub_Region","Non_Forest","2020_2030",8079523.44117888,8159728.42759583,0.00197755213191853
"122","North-East Asia","Sub_Region","Non_Forest","2020_2050",8079523.44117888,8159470.21184703,0.00197121050765414
"123","North-East Asia","Sub_Region","Non_Forest","2020_2070",8079523.44117888,8161078.05549709,0.00201069557322575
"124","Oceania","Sub_Region","Non_Forest","2020_2030",5455732.25780478,5485025.35432974,0.00107154766688278
"125","Oceania","Sub_Region","Non_Forest","2020_2050",5455732.25780478,5520938.64130055,0.00237903405983997
"126","Oceania","Sub_Region","Non_Forest","2020_2070",5455732.25780478,5548828.41495398,0.00338972470993681
"127","South America","Sub_Region","Non_Forest","2020_2030",10361835.4310245,10412579.0273614,0.000977519627277657
"128","South America","Sub_Region","Non_Forest","2020_2050",10361835.4310245,10740432.4300254,0.00720301087524344
"129","South America","Sub_Region","Non_Forest","2020_2070",10361835.4310245,11306457.3717837,0.017602046806596
"130","South Asia","Sub_Region","Non_Forest","2020_2030",4262766.02110013,4276435.75598421,0.00064053406488429
"131","South Asia","Sub_Region","Non_Forest","2020_2050",4262766.02110013,4283367.81534492,0.00096472957476057
"132","South Asia","Sub_Region","Non_Forest","2020_2070",4262766.02110013,4288696.49181876,0.001213653562814
